id;quantity;condition;language;graded;grade;purchase_price;notes
1;4092;POOR;EN;false;switch unique forearm;29579.28;authentic
2;32560;GOOD;FR;false;deadly;3969.71;mortise round neatly
3;30186;POOR;ES;true;uh-huh psst abaft;25124.3;step-mother
4;23930;EXCELLENT;KR;false;scholarship actually masterpiece;31010.03;longingly
5;10063;GOOD;ZH;true;lest lest;16660.44;tomorrow ouch circumnavigate
6;3695;NEAR_MINT;FR;true;upright;21289;boohoo mechanically
7;26209;POOR;IT;true;immediately who aboard;12524.69;knottily absent
8;6559;MINT;KR;true;phooey beep;10405.35;ape ambitious tenderly
9;30069;PLAYED;ES;false;awkwardly archive whoa;10673.28;marksman knowledgeable than
10;20401;EXCELLENT;JP;true;saw over;21014.97;suspiciously vet that
