id;source;currency;price_low;price_mid;price_high;last_updated
1;POKEMON_TCG_API;worth;11723.15;27488.61;9033.5;2025-09-15T12:06:18
2;TCGPLAYER;oh suffice anenst;25059.89;28094.92;6113.82;2025-09-14T17:50:40
3;POKEMON_TCG_API;speedily outrageous;1257.94;11331.38;17130.5;2025-09-15T15:05:26
4;POKEMON_TCG_API;gloomy cannibalise;26626.69;3754;9936.3;2025-09-14T22:21:34
5;POKEMON_TCG_API;presell soup stark;24904.16;23230.67;27352.67;2025-09-14T18:56:31
6;POKEMON_TCG_API;goat yahoo;3214.76;25724.55;30364.89;2025-09-14T21:55:25
7;POKEMON_TCG_API;because;9512.77;661.25;30295.54;2025-09-15T12:28:23
8;TCGPLAYER;till smoothly forsaken;27480.94;31589.94;32266.29;2025-09-15T05:42:07
9;TCGPLAYER;furthermore;11254.67;31741.71;28260.59;2025-09-14T23:34:50
10;TCGPLAYER;phooey;14093.07;29623.77;23398.67;2025-09-15T10:50:07
