id;type;title;message;read;created_at;link_url
1;SYSTEM;rosemary castanet;../fake-data/blob/hipster.txt;true;2025-09-15T14:48:19;pfft
2;TRADE_PROPOSAL;off following phooey;../fake-data/blob/hipster.txt;false;2025-09-14T17:41:44;hmph obsess alb
3;TRADE_PROPOSAL;term ugh unfinished;../fake-data/blob/hipster.txt;false;2025-09-15T02:58:26;councilman
4;SYSTEM;under familiar eek;../fake-data/blob/hipster.txt;false;2025-09-14T21:01:25;because tensely heating
5;TRADE_STATUS;finally nor;../fake-data/blob/hipster.txt;false;2025-09-15T16:39:50;uncommon sonnet
6;TRADE_STATUS;freely pilot;../fake-data/blob/hipster.txt;false;2025-09-15T06:14:26;despite phew joshingly
7;SYSTEM;yippee;../fake-data/blob/hipster.txt;false;2025-09-15T12:36:43;although instead
8;PRICE_ALERT;suffocate aw zowie;../fake-data/blob/hipster.txt;false;2025-09-15T08:29:34;defensive wearily
9;PRICE_ALERT;longboat intently justly;../fake-data/blob/hipster.txt;false;2025-09-15T15:28:25;fort beloved
10;TRADE_PROPOSAL;best;../fake-data/blob/hipster.txt;false;2025-09-15T15:59:03;phew amidst greatly
